longitude;latitude;observationId;Temperatura_Media_Anual_GrausC;Precipitacao_Media_Anual_mm;Temperatura_Media_Janeiro_GrausC;Temperatura_Media_Fevereiro_GrausC;Temperatura_Media_Marco_GrausC;Temperatura_Media_Abril_GrausC;Temperatura_Media_Maio_GrausC;Temperatura_Media_Junho_GrausC;Temperatura_Media_Julho_GrausC;Temperatura_Media_Agosto_GrausC;Temperatura_Media_Setembro_GrausC;Temperatura_Media_Outubro_GrausC;Temperatura_Media_Novembro_GrausC;Temperatura_Media_Dezembro_GrausC;Precipitacao_Media_Janeiro_mm;Precipitacao_Media_Fevereiro_mm;Precipitacao_Media_Marco_mm;Precipitacao_Media_Abril_mm;Precipitacao_Media_Maio_mm;Precipitacao_Media_Junho_mm;Precipitacao_Media_Julho_mm;Precipitacao_Media_Agosto_mm;Precipitacao_Media_Setembro_mm;Precipitacao_Media_Outubro_mm;Precipitacao_Media_Novembro_mm;Precipitacao_Media_Dezembro_mm;Capacidade_Armazenamento_Agua_mm;Teor_Argila_Subsolo_%;Teor_Cascalho_Subsolo_%;Teor_Carbono_Organico_Subsolo_%;Teor_Areia_Subsolo_%;Teor_Silte_Subsolo_%;Teor_Argila_Cam_Superior_%;Teor_Cascalho_Cam_Superior_%;Teor_Carbono_Organico_Cam_Superior_%;Teor_Areia_Cam_Superior_%;Teor_Silte_Cam_Superior_%;Classificacao_Clima_KoeppenGeiger;Isotermalidade;Sazonalidade_Temperatura
-43.68;-22.77;967227.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967228.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967229.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967230.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967231.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967232.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967233.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-44.54;-22.53;1353898.0;15.4;1697.0;18.0;18.0;17.0;15.0;13.0;12.0;11.0;13.0;14.0;15.0;16.0;17.0;28.0;26.0;21.0;9.0;4.0;3.0;2.0;4.0;6.0;14.0;18.0;28.0;150.0;66.2;0.6;1.492;7.8;26.0;65.3;1.8;3.687;8.5;26.2;11.0;0.62;21.74
-44.66;-22.38;2395278.0;20.4;1511.0;23.0;23.0;22.0;20.0;18.0;17.0;16.0;18.0;19.0;20.0;21.0;22.0;26.0;24.0;20.0;8.0;3.0;3.0;2.0;3.0;5.0;12.0;17.0;23.0;150.0;58.7;1.5;1.108;23.7;17.6;52.45;2.2;27.295;29.35;18.2;11.0;0.62;22.48
-44.66;-22.38;2395279.0;20.4;1511.0;23.0;23.0;22.0;20.0;18.0;17.0;16.0;18.0;19.0;20.0;21.0;22.0;26.0;24.0;20.0;8.0;3.0;3.0;2.0;3.0;5.0;12.0;17.0;23.0;150.0;58.7;1.5;1.108;23.7;17.6;52.45;2.2;27.295;29.35;18.2;11.0;0.62;22.48
